id,color,shape,number
0,y,sq,one
1,b,sq,one
2,r,cr,two
3,r,cr,three
4,b,st,one
5,y,st,one
6,b,cr,one
7,r,tr,three
8,y,tr,three
9,r,cr,one
10,b,tr,four
11,b,cr,four
12,g,st,three
13,g,st,four
14,g,sq,two
15,b,tr,three
16,y,sq,four
17,b,sq,four
18,g,tr,four
19,g,st,two
20,b,sq,three
21,r,tr,two
22,r,st,two
23,y,tr,four
24,r,sq,one
25,y,sq,two
26,y,st,four
27,b,tr,two
28,y,cr,two
29,g,st,one
30,g,sq,three
31,b,st,three
32,b,st,four
33,g,tr,one
34,g,tr,two
35,y,cr,three
36,r,sq,three
37,y,sq,three
38,y,tr,one
39,y,cr,one
40,r,st,one
41,r,tr,four
42,g,tr,three
43,b,tr,one
44,g,cr,four
45,b,cr,three
46,r,sq,four
47,r,st,four
48,b,st,two
49,g,cr,one
50,r,tr,one
51,g,cr,three
52,r,cr,four
53,y,cr,four
54,g,sq,one
55,r,sq,two
56,y,tr,two
57,y,st,two
58,b,cr,two
59,g,cr,two
60,b,sq,two
61,y,st,three
62,r,st,three
63,g,sq,four
